Episode,Frame,Avg Reward,Max Reward,Avg Q-value
0,23.0,0.0,0.0,0.21331516
100,3104.0,0.7,7.0,0.24227889
200,6731.0,0.3,1.0,0.20713677
300,9906.0,0.0,0.0,0.20868813
400,13460.0,0.8,3.0,0.24613233
500,16752.0,0.1,1.0,0.22100703
600,20329.0,2.0,5.0,0.24992795
700,24009.0,1.0,5.0,0.26953483
800,27855.0,1.6,3.0,0.2660429
900,31176.0,0.0,0.0,0.23003057
1000,34471.0,2.0,11.0,0.29346842
1100,37471.0,1.6,2.0,0.26772588
1200,40909.0,0.8,2.0,0.27948263
1300,44147.0,1.0,1.0,0.28282192
1400,47404.0,0.3,1.0,0.2576641
1500,51090.0,1.4,3.0,0.31364295
1600,54479.0,0.4,1.0,0.25408798
1700,57782.0,2.3,3.0,0.295763
1800,61457.0,2.2,5.0,0.32141712
1900,64864.0,0.3,1.0,0.22021335
2000,67913.0,0.6,2.0,0.25159407
2100,71327.0,3.0,5.0,0.36037365
2200,74682.0,2.7,9.0,0.31108108
2300,78134.0,0.8,2.0,0.27760953
2400,81242.0,0.2,1.0,0.23094234
2500,84761.0,0.4,1.0,0.2633829
2600,87699.0,2.0,3.0,0.3429893
2700,90796.0,2.7,5.0,0.3790638
2800,94191.0,0.8,2.0,0.28659397
2900,97547.0,2.2,4.0,0.36757198
3000,101588.0,3.5,6.0,0.4057712
3100,105224.0,2.2,3.0,0.3735332
3200,109001.0,1.5,3.0,0.3229326
3300,112397.0,2.4,4.0,0.40659675
3400,116143.0,0.0,0.0,0.2048672
3500,119139.0,0.4,4.0,0.26006728
3600,122678.0,1.8,3.0,0.36089405
3700,126399.0,2.0,3.0,0.40159684
3800,129704.0,2.2,6.0,0.37569165
3900,133139.0,1.0,2.0,0.3288646
4000,136686.0,2.6,4.0,0.4488066
4100,140380.0,2.1,9.0,0.33413473
4200,144259.0,2.6,10.0,0.37051013
4300,147569.0,1.9,5.0,0.410353
4400,150668.0,5.4,9.0,0.5908727
4500,154056.0,1.0,10.0,0.29269552
4600,157717.0,2.9,10.0,0.43424687
4700,161367.0,2.2,3.0,0.42054632
4800,164740.0,1.8,9.0,0.31893656
4900,168276.0,2.9,7.0,0.48683608
5000,172137.0,4.1,9.0,0.5299021
5100,175594.0,3.3,9.0,0.48901516
5200,179442.0,4.0,8.0,0.48849353
5300,183466.0,2.4,7.0,0.3988334
5400,187548.0,5.3,8.0,0.5485795
5500,191578.0,7.8,9.0,0.60155594
5600,194918.0,5.5,9.0,0.6042445
5700,198720.0,6.2,14.0,0.58830833
5800,203241.0,13.0,15.0,0.66936004
5900,207178.0,19.1,33.0,0.66087073
6000,211762.0,7.5,9.0,0.73175776
6100,215708.0,8.7,17.0,0.6643793
6200,220145.0,13.8,16.0,0.7856512
6300,225027.0,14.1,19.0,0.7634262
