Episode,Total Reward,Epsilon,Avg Reward (Last 100),Total Frames,Frame Rate,Model Updates,Running Reward,Training Time
0,0.0,1.0,0.0,23.0,915.8999306920352,23,0.0,0.0251119136810302
1,0.0,1.0,0.0,44.0,88.79921973827358,44,0.0,0.495499849319458
2,0.0,1.0,0.0,65.0,132.47251471081287,65,0.0,0.4906678199768066
3,0.0,1.0,0.0,86.0,178.23972296781793,86,0.0,0.4824962615966797
4,0.0,1.0,0.0,109.0,183.3957260266939,109,0.0,0.5943431854248047
5,0.0,1.0,0.0,132.0,226.0326142914824,132,0.0,0.5839865207672119
6,1.0,1.0,0.1428571428571428,183.0,156.27662244692695,183,0.1428571428571428,1.1710004806518557
7,0.0,1.0,0.125,206.0,339.74087849408204,206,0.125,0.60634446144104
8,0.0,1.0,0.1111111111111111,227.0,442.3871763026072,227,0.1111111111111111,0.5131251811981201
9,0.0,1.0,0.1,248.0,411.0525522950383,248,0.1,0.6033291816711426
10,0.0,1.0,0.0909090909090909,271.0,490.4918025995725,271,0.0909090909090909,0.552506685256958
11,0.0,1.0,0.0833333333333333,292.0,501.8746559883032,292,0.0833333333333333,0.5818185806274414
12,0.0,1.0,0.0769230769230769,315.0,638.9686784838924,315,0.0769230769230769,0.4929819107055664
13,1.0,1.0,0.1428571428571428,382.0,218.1708629860772,382,0.1428571428571428,1.7509212493896484
14,1.0,1.0,0.2,453.0,261.7822074541848,453,0.2,1.7304461002349854
15,1.0,1.0,0.25,504.0,391.0319382422618,504,0.25,1.2888972759246826
16,0.0,1.0,0.2352941176470588,527.0,1000.3358930077804,527,0.2352941176470588,0.5268230438232422
17,0.0,1.0,0.2222222222222222,548.0,928.0752513114712,548,0.2222222222222222,0.5904693603515625
18,0.0,1.0,0.2105263157894736,571.0,1066.8217344183824,571,0.2105263157894736,0.5352346897125244
19,0.0,1.0,0.2,592.0,985.724021819865,592,0.2,0.6005737781524658
20,0.0,1.0,0.1904761904761904,615.0,1200.5483387081536,615,0.1904761904761904,0.5122659206390381
21,0.0,1.0,0.1818181818181818,638.0,1153.9195393922355,638,0.1818181818181818,0.5528981685638428
22,0.0,1.0,0.1739130434782608,659.0,1286.9269853449223,659,0.1739130434782608,0.5120725631713867
23,1.0,1.0,0.2083333333333333,729.0,409.26140495903167,729,0.2083333333333333,1.7812576293945312
24,0.0,1.0,0.2,752.0,1205.634319478225,752,0.2,0.6237380504608154
25,0.0,1.0,0.1923076923076923,775.0,1573.922335841633,775,0.1923076923076923,0.4924004077911377
26,0.0,1.0,0.1851851851851851,796.0,1338.9084594675994,796,0.1851851851851851,0.5945141315460205
27,0.0,1.0,0.1785714285714285,817.0,1708.3174185996545,817,0.1785714285714285,0.4782483577728271
28,0.0,1.0,0.1724137931034483,838.0,1664.6152380185604,838,0.1724137931034483,0.5034196376800537
29,0.0,1.0,0.1666666666666666,861.0,1473.260429980577,861,0.1666666666666666,0.5844180583953857
30,1.0,1.0,0.1935483870967742,930.0,544.8887495715012,930,0.1935483870967742,1.706770420074463
31,0.0,1.0,0.1875,951.0,1966.5520577938407,951,0.1875,0.4835875034332275
