Episode,Total Reward,Epsilon,Avg Reward (Last 100),Total Frames,Frame Rate,Loss,Model Updates,Running Reward,Training Time
0,3.0,1.0,3.0,284,47.887383541619606,0.005970738,284,3.0,5.9305808544158936
1,0.0,1.0,1.5,436,109.19034032184199,0.0031843544,436,1.5,3.9930272102355957
2,1.0,1.0,1.3333333333333333,633,136.73523933558172,0.0021660703,633,1.3333333333333333,4.629384517669678
3,2.0,1.0,1.5,851,173.45642698740576,0.0029289639,851,1.5,4.906131267547607
4,0.0,1.0,1.2,979,335.5862768542257,0.0005341995,979,1.2,2.9172825813293457
5,1.0,1.0,1.1666666666666667,1157,279.21062903851464,0.0036677597,1157,1.1666666666666667,4.143825054168701
6,1.0,1.0,1.1428571428571428,1359,287.1547943244897,0.00089728343,1359,1.1428571428571428,4.7326390743255615
7,1.0,1.0,1.125,1534,377.9396039097397,0.00077068724,1534,1.125,4.058849573135376
8,0.0,1.0,1.0,1670,502.2777095436446,0.0024729741,1670,1.0,3.3248538970947266
9,1.0,1.0,1.0,1842,418.3749458545648,0.0052218107,1842,1.0,4.402749300003052
10,3.0,1.0,1.1818181818181819,2084,341.5583562880556,0.00030077843,2084,1.1818181818181819,6.1014463901519775
11,2.0,1.0,1.25,2319,391.5463876988318,0.00084483635,2319,1.25,5.922669887542725
12,1.0,1.0,1.2307692307692308,2493,560.7100299445028,0.012561857,2493,1.2307692307692308,4.44614839553833
13,0.0,1.0,1.1428571428571428,2627,792.1542173566924,0.014236902,2627,1.1428571428571428,3.3162734508514404
14,0.0,1.0,1.0666666666666667,2754,836.5430835743323,0.01102322,2754,1.0666666666666667,3.2921197414398193
15,1.0,1.0,1.0625,2911,706.37167973254,0.00042678372,2911,1.0625,4.121059894561768
16,2.0,1.0,1.1176470588235294,3147,476.0078935347225,0.0020505816,3147,1.1176470588235294,6.611234903335571
17,2.0,1.0,1.1666666666666667,3376,541.1073052046875,0.00041691595,3376,1.1666666666666667,6.239058256149292
18,0.0,1.0,1.105263157894737,3501,1005.3046140575178,0.0010751928,3501,1.105263157894737,3.4825265407562256
19,0.0,1.0,1.05,3627,1097.6680457560694,0.0016769946,3627,1.05,3.3042776584625244
20,5.0,1.0,1.2380952380952381,3957,447.6846288513083,0.0035314914,3957,1.2380952380952381,8.83881139755249
21,1.0,1.0,1.2272727272727273,4125,908.9504184906262,0.0030171555,4125,1.2272727272727273,4.538201332092285
22,1.0,1.0,1.2173913043478262,4318,787.8739685611788,0.00034259894,4318,1.2173913043478262,5.480571985244751
23,3.0,1.0,1.2916666666666667,4578,621.5196838114156,0.0018425933,4578,1.2916666666666667,7.365816593170166
24,2.0,1.0,1.32,4792,799.4358979968227,0.012322293,4792,1.32,5.994226694107056
25,1.0,1.0,1.3076923076923077,4967,1035.3089030588044,0.0027669533,4967,1.3076923076923077,4.797601938247681
26,4.0,1.0,1.4074074074074074,5243,660.302429171047,0.00088304444,5243,1.4074074074074074,7.940300941467285
27,3.0,1.0,1.4642857142857142,5481,873.6624694171319,0.0004237223,5481,1.4642857142857142,6.273589849472046
28,0.0,1.0,1.4137931034482758,5627,1198.363809368679,0.016302088,5627,1.4137931034482758,4.695569038391113
29,3.0,1.0,1.4666666666666666,5890,800.5021763418009,0.0004020334,5890,1.4666666666666666,7.357881307601929
30,1.0,1.0,1.4516129032258065,6066,1225.2343529201462,0.00054247415,6066,1.4516129032258065,4.950889587402344
31,3.0,1.0,1.5,6331,893.3963010813928,0.0032949978,6331,1.5,7.086440801620483
32,2.0,1.0,1.5151515151515151,6549,1092.3229156397824,0.0005805489,6549,1.5151515151515151,5.9954798221588135
33,4.0,1.0,1.588235294117647,6818,943.5683189405287,0.0007033347,6818,1.588235294117647,7.225761890411377
34,2.0,1.0,1.6,7036,1192.0363266821098,0.015613422,7036,1.6,5.9025046825408936
35,2.0,1.0,1.6111111111111112,7252,1219.477478444016,0.00029264187,7252,1.6111111111111112,5.9468092918396
36,2.0,1.0,1.6216216216216217,7500,1090.0774278324366,0.00056162826,7500,1.6216216216216217,6.880245208740234
37,1.0,1.0,1.605263157894737,7681,1560.4287178430038,0.002427578,7681,1.605263157894737,4.922365188598633
38,0.0,1.0,1.564102564102564,7809,2298.8757732037634,0.0146630155,7809,1.564102564102564,3.3968777656555176
39,0.0,1.0,1.525,7936,2233.6788655814516,0.0017416927,7936,1.525,3.5528831481933594
40,1.0,1.0,1.5121951219512195,8106,1847.6442391930782,0.0021702521,8106,1.5121951219512195,4.3872082233428955
41,0.0,1.0,1.4761904761904763,8231,2506.939439627957,0.0005022121,8231,1.4761904761904763,3.2832863330841064
42,0.0,1.0,1.441860465116279,8366,2194.147975148593,0.00097311137,8366,1.441860465116279,3.8128695487976074
43,2.0,1.0,1.4545454545454546,8595.0,1598.943451358579,0.010114308,8595,1.4545454545454546,5.37542462348938
44,1.0,1.0,1.4444444444444444,8767.0,2109.6751733241185,0.017835313,8767,1.4444444444444444,4.155616044998169
45,0.0,1.0,1.4130434782608696,8898.0,2853.1419485807955,0.00013896191,8898,1.4130434782608696,3.1186671257019043
46,1.0,1.0,1.4042553191489362,9078.0,2208.5582928276117,0.0033341304,9078,1.4042553191489362,4.1103737354278564
47,0.0,1.0,1.375,9204.0,3157.6572131450316,0.0018345291,9204,1.375,2.9148192405700684
48,0.0,1.0,1.346938775510204,9336.0,3084.492595347222,0.0041928277,9336,1.346938775510204,3.0267539024353027
49,2.0,1.0,1.36,9538.0,2056.8762158135664,0.0024231735,9538,1.36,4.637128829956055
50,0.0,1.0,1.3333333333333333,9670.0,2918.9753116193497,0.00047182618,9670,1.3333333333333333,3.3128063678741455
51,1.0,1.0,1.3269230769230769,9835.0,2429.6859600942544,0.0019017119,9835,1.3269230769230769,4.047848224639893
52,2.0,1.0,1.3396226415094339,10078.0,1599.0109749446694,0.001958294,10078,1.3396226415094339,6.302645921707153
53,3.0,1.0,1.3703703703703705,10332.0,1626.7244497698177,0.0012405438,10332,1.3703703703703705,6.351413726806641
